date,ticker,price,decision,reason,sentiment,rsi,confidence
2025-12-19,ADA-USDT,0.3767,sell,SELL: score=-24,-0.450,38.55,0.600
2025-12-19,BNB-USDT,856.17,sell,SELL: score=-20,-0.400,43.53,0.500
2025-12-19,BTC-USDT,88136.94,sell,SELL: score=-19,-0.350,44.70,0.550
2025-12-19,DOGE-USDT,0.13222,sell,SELL: score=-34,-0.350,42.70,0.600
2025-12-19,DOT-USDT,1.849,hold,Neutral (score=-9),-0.650,32.92,0.600
2025-12-19,ETH-USDT,2979.5,sell,SELL: score=-19,-0.350,46.61,0.550
2025-12-19,LTC-USDT,77.49,sell,SELL: score=-16,-0.450,38.93,0.550
2025-12-19,SOL-USDT,126.27,sell,SELL: score=-20,-0.400,43.89,0.600
2025-12-19,XRP-USDT,1.9092,sell,SELL: score=-29,-0.450,40.95,0.600
2025-12-20,ADA-USDT,0.373,sell,SELL: score=-29,-0.650,37.84,0.600
2025-12-20,BNB-USDT,854.17,sell,SELL: score=-21,-0.450,43.15,0.700
2025-12-20,BTC-USDT,88360.9,sell,SELL: score=-18,-0.300,45.31,0.600
2025-12-20,DOGE-USDT,0.13194,sell,"SELL_MILD: score=-13, RSI=42.5",-0.400,42.51,0.600
2025-12-20,DOT-USDT,1.832,hold,Neutral (score=-9),-0.650,32.36,0.600
2025-12-20,ETH-USDT,2977.93,sell,SELL: score=-18,-0.300,46.53,0.500
2025-12-20,LTC-USDT,77.84,sell,SELL: score=-15,-0.400,39.68,0.600
2025-12-20,SOL-USDT,125.81,sell,SELL: score=-21,-0.450,43.47,0.600
2025-12-20,XRP-USDT,1.9335,sell,SELL: score=-28,-0.400,42.92,0.600
2025-12-21,ADA-USDT,0.3662,sell,SELL: score=-17,-0.650,36.50,0.600
2025-12-21,BNB-USDT,858.64,sell,SELL: score=-20,-0.400,44.32,0.500
2025-12-21,BTC-USDT,88658.86,sell,SELL: score=-18,-0.300,46.16,0.600
